,Company,Position
0,Bregal Milestone,Principal
1,Kolster Oy Ab,Senior IPR Business Manager
2,Kolster Oy Ab,CEO
3,GfK,Chief Commercial Officer
4,The Better Fund,Founding Partner
5,Hallituspartnerit Helsinki - Board Professionals Finland ry,Hallituksen varapuheenjohtaja
6,"Binder Finland Oy (""Bussco AI"")",Founder
7,SNÖ Ventures,Partner
8,SNÖ Ventures,Founding Partner
9,Aava Mobile Oy,Founder and Board member
10,Finnvera Oyj,Legal Counsel
11,Hermes GPE,"Partner, Head of Growth Investing and Strategy"
12,Hermes GPE,Private Equity
13,Hermes GPE,Vice President
14,Thirdpresence,Finance Manager
15,Danske Bank,Global Head of Equity Capital Markets
16,Danske Bank,Head of Corporate Finance
17,Danske Bank,Investment Banking Analyst
18,Evli Bank Plc,"Partner, Head of ETF & ETD Sales"
19,"Evli Bank Plc, Corporate Finance",Partner
20,DrAI.ai,Chief Executive Officer
21,"Design Ventures - UK, Europe and the Middle East ",Managing Partner
22,Tesi (FII),Senior Business Analyst
23,thinkproject,Shareholder
24,Safegrid,CEO
25,Innolink,Project Coordinator
26,Innolink Group,Managing Director
27,Vestra Group,Founding Partner / Legal
28,Tesi (FII),Communications Trainee
29,Tesi (FII),Team Coordinator
30,ICECAPITAL Securities Ltd,Investment Banking Analyst
31,Tesi (FII),Investment Analyst Trainee
32,JLL Finland,Advisor
33,EY,"Analyst, Strategy and Transactions"
34,Forenom,Board Observer
35,Juniper Networks,Global Technologist / AI Driven Enterprise
36,Consulate General of Finland in Hong Kong,Consul General (Ambassador)
37,Inventure,Portfolio Operations Director
38,Oxx,Investment Professional
39,Varjo,Chief Commercial Officer
40,GP Bullhound,"Partner, Head of San Francisco Office"
41,Kodit.io,"Founder, CEO"
42,Profit Software Ltd,Board of Directors - Observer
43,Scala Fund Advisory,Director
44,Flashpoint Ventures,Associate
45,Volpi Capital LLP,Director
46,Flashpoint Venture Capital,Managing Partner
47,Idinvest Partners,Portfolio Manager
48,Grasshopper Ant,Founder 
49,NCC,Head of Business Transformation
50,Danske Bank,Global Head of Danske Bank Growth
51,Elisa,"Director, Telecom Software Business "
52,eQ Plc,"CIO, Private Equity"
53,Varjo,Chief Executive Officer
54,IMPACT Partners Nordic,Managing Director
55,Business Finland,"Director, Consumer Business"
56,Singa Ltd,Co-Founder & CEO
57,Bittitie,Entrepreneur
58,Tesi (FII) ,Lead Enterprise Architect
59,Suomen Maastorakentajat Oy,Chairman Of The Board
60,UpCloud,Head of Global Sales
61,Expa,Principal
62,22React,Founder
63,Earlybird Venture Capital,Principal
64,Lifted,Customer Success Manager
65,ReOrbit OY,Founder and CEO
66,byFounders,Founder & Managing Partner
67,Finnvera plc,"Senior Adviser (Aluepäällikkö), Country Risks, Large Corporates, Finnvera plc."
68,Finnvera plc,Deputy Head of Structured Finance
69,byFounders,Investor
70,Globus International,Managing Partner
71,Bob W.,Co-founder & COO
